plant,plant_type,city
f639b3bffb0910cb1de42fee016df58d,SM,Other
3bbb792975c29cea031830bf867a8c6b,SM,Other
669e40b854e5ed89bc374e62800f507d,SM,Other
6f63f96063a04ebc9c94d86b290a53a8,SM,Other
b7aa68fca7cb9d8801b6f092244b88a0,SM,Other
92516680216bb9083dc729bd81e9d310,SM,Other
c3eab1f948f610f6e1a11a79582828c0,SM,Other
97e62d270e5e358a21b15119a6147b2f,SM,Other
ce0a2e6772b4ff332e4aaaa0dd29e8bc,SM,Other
8257a28c7042c73d88d2404f4806cbf4,SM,Other
46ce6c3c1e23ab2ed612a1a43ebb2929,SM,Other
a300549b1292442df6593433d411cead,SM,Other
e4002dc1e7deeaae4ed8e436ef1f3fbe,SM,Other
6d9ff949640422493f3db836c3035c64,SM,Other
fcd04e26e900e94b9ed6dd604fed2b64,HM,St. Petersburg
7f8bb0fe8b33780a08fe6b60ced14529,HM,St. Petersburg
c0279f73075a52e1a7dea35065bc8c80,HM,St. Petersburg
6858fb45a3d3aef7c29322d3b68dffd1,HM,St. Petersburg
ecee596a242de13b779391cdaa2c528d,HM,Other
096ec814d2392f379695f30ca7041977,HM,Other
6cb9669ff7bbb140212081ccb0f68543,HM,Other
0780f11aa0422b8466bce734d1a730ab,HM,Other
02d4c7920bb22a908c195e034100d8de,HM,Other
aecdffd6ed3edae913d9e91b4c65530c,HM,Other
c2e38e55597ae43748ae552b614f5317,HM,Other
7419ef62d67197ffe2a3232bd7e12652,HM,Other
bb332482a638036ca44965c5f069d197,HM,Other
9d4352b8bf376c4349188c5cf26699b8,HM,Other
b1ba1f7d91f3156b1bdfc3fa75e8af11,HM,Other
43692f46e3168b32434dd507ebc85dbe,HM,Other
31f123e5785fc03b6370c7f57b4df50d,HM,Other
f0d0ddc38e27d44224637a8498ecc8bc,HM,Other
97bc5e668896d17a0120151e809ae1a7,HM,Other
f5102568d9ebd64f1fb698d6ba575e7a,HM,Other
5176e3222f668231f94c94103c7330e4,HM,Other
b4f151bb5aea33c5a0b0dcbc1bd2849b,HM,Other
bbe9047444895de971dcc65fe7f9504f,HM,Other
07aeb18febbdbf77511a10fd4aa49942,HM,Other
5072ec0261a35740089ed41e844e51eb,HM,Other
eb62f6b9306db575c2d596b1279627a4,HM,Other
4721dc6a803c213861d569b31f3c121f,HM,Other
2f8639feef43f2964be0cee184dad78c,HM,Other
a9bd0eeb3ce6858df275497bb2089ec4,HM,Other
2323c43b77f10b2657f6993ff865e6a4,HM,Other
be30a998b7393750806a3058d926469f,HM,Other
40948ab6d7a2ad56058b072f272dc887,HM,Other
f80f78a0e6c02b5b479cea3b717e9e34,HM,Other
cd365d8672d1b3932cd4357f1b2b057e,HM,Other
5394c8765bf72ecb92711a1e6f9b8783,HM,Other
ddd8b970c97a77fa74c14951f486f62b,HM,Other
2028d95822df7f10a5e7cefa22ae90c4,HM,Other
1063bd2b59244fad952754a2cdb4f42b,HM,Other
5f55a6ece505a982f1ea0f396442bf23,HM,Other
54df5e38455d75e5c0e2c55f40f825fa,HM,Other
59671a88720c7f1320cf72dc8f2423a2,HM,Other
fbc01d515dac182ba3524a3b11fdf4b2,HM,Other
864c210c868936ae8d1fdfd8e0efdb54,HM,Other
a5aad544b38a088b35b395645efe0d61,HM,Other
a9dd14d824822d6d78d0fe3e55dbd7fb,HM,Other
9e97aba19c4de1b4ea7d69a8ecd3c30d,HM,Other
12195987ef7be240aadf871611319619,HM,Other
7b409461742575ae26050a17c961561d,HM,Other
0cf0613553f1dd3f98b4009b31c52618,HM,Other
66e78b22162c1774129ea149e0171b52,HM,Other
7801343c2ec7e347fbaddd0085d250b3,HM,Other
00fdea78e677259a3e44868468f24bbf,HM,Other
6cc50a2dd22a028e9c264f9443bffb7e,HM,Other
755e9e9053939dbd61e36d0d32a7e646,HM,Other
f9bb70abd71ac32fb2aed7673c51fc5c,HM,Other
335e2d36ca1a5def183273b492a32c63,HM,Other
198f9e9f064617952401a90cfbff7461,HM,St. Petersburg
78c734ebceead5b7b07ffd1414b22eed,HM,St. Petersburg
8566418f640c84b79671a915d659087d,HM,Other
33708b5cd432b05542b3a73a24d442db,HM,Other
e960bd3154493f20a5a54c28f5686d4e,HM,Moscow
4ee7da9a70026f945c33f970f6c2228a,HM,Other
6c72b80ca39cd956c16d2fc662186f22,HM,Other
087c8abfaee44ebbf0c2871976a2ab18,HM,Other
1b1fe7e8385516e59ecb8f90cd7ba694,SM,Moscow
71aad7fe0cb15be5ebab385c2a6434fe,SM,Other
6e746846ad849391755c57db7166827c,SM,Other
fa6fd762eab57575a037d306299c6452,SM,Other
1aa6f8ae85e92e03593a6b5a37f60c57,SM,Moscow
d0c167c70cbe3d45877b023f760eb753,SM,Other
e7ad1a6effaefca88441cca93a321354,SM,Other
7ec8342078f2a559ea5016b685d1a00b,SM,Other
a0b202073aa35e456aeada81d3a98c67,SM,Moscow
dc9d3be1466583532bb474af7f5e2b41,SM,Moscow
8975ca870012be158efd8c5824b3eb7c,SM,St. Petersburg
5968996e0aca329cf3218086223f8308,SM,St. Petersburg
913e6a48943911538f21112686331297,SM,St. Petersburg
b626870cbf36f5f9559dd94f6032251f,SM,Other
f3c1e49321d9753c5b5348b2fead1dca,SM,St. Petersburg
d14ceb37e82ddfe68777e8454997ed7d,SM,Other
c38c60de91d41b17bdbb5dd970c10c4b,SM,St. Petersburg
d631cd193bbb80d23115e06962955320,SM,Other
7bb77d0b9c2ad7c556d82b6b2e69798e,SM,Other
21d510d02139a803005e15547d6b034e,SM,Other
ffe49cdf45d56b04b8542e6abc4f5fb6,SM,Other
b9d800eaebe2ca8cf444580f283247d5,SM,Other
e5e5551158957acfc5d738bd719d18a3,SM,Other
b7531d70dbb017fd3a72eeca4b4e91f6,SM,Other
2cae77d8fe7f02cbcc3c4971565979f5,SM,Other
42a6d3c252e09f62ebb9357891904562,SM,Other
e79fd41bdf2a8d7a72b0439246c9ba6f,SM,Other
707c636fc43b41bf95896592d8410fe9,SM,Other
a5a7158118e59ee590424b55bb9aed17,SM,Other
af4a57797a8428477fa9ebd4ea7397ba,SM,Other
7cd86ecb09aa48c6e620b340f6a74592,HM,St. Petersburg
6950aac2d7932e1f1a4c3cf6ada1316e,HM,St. Petersburg
fc1198178c3594bfdda3ca2996eb65cb,HM,St. Petersburg
b6fb522815d06fed82b0140be4c74680,HM,Other
857778a20b9a41d4ca0d687a36e4bfa8,HM,St. Petersburg
d9f5e405a7f74ed652a8f0b31a87f636,HM,Other
ed0a75eeb69b34ddc14beed2678bee12,HM,Other
0e0b24fc303d2b384be5a2464654a5d2,HM,Moscow
c90070ff096dd6858022784617b2f383,HM,Other
8ae502a489e46e16512581742d93db9c,HM,Other
99cb58d2d19256c97a9055c0675bcb27,HM,Other
0bb0666df4640d65ed353b3bfca34d6e,HM,Other
2d0974b2436345d99f7152c3fc44a609,HM,Other
028f7ee9eb0c0994a8ba1e60bcffd09e,HM,Other
b2c3b75b24f611bde67921d19c8dffcd,HM,Other
7792dd2aad4d5547e11d9317b03c32c6,HM,Other
2aceac02230cdeb39aaf319ac6779462,HM,Other
b323b8172b421577bf8e70d411d79a50,HM,Other
c76b3d3ab1522b66814253d642932e9e,HM,Other
021ed42efda232c8b396e590360a5b89,HM,Other
6bcf53c2bdbee891ffaca1e612b0076c,HM,Other
585869cdf36ea981c9545fcfef880f1d,HM,Other
3d842a955f86c5982f18ed6fea9fa1a9,HM,Other
233b47c75b7eb974cd10a4df3c838b9f,HM,Other
84f7b02a8128f5f5775611244c24b941,HM,Other
d64afcd10ad5d5c200d22a4464f8086f,HM,Other
c88a45cebe37ef31231604ff583105be,HM,Other
a4bab3ce420ea5342f99b468206738eb,HM,Moscow
171293841d3fdd4af2e12426ce202ac9,HM,Other
5db5ae42bae950401219b2da9c583331,HM,Other
a2a68c298479b64a8536d0fd7c479ee1,HM,Other
ea83196054e0e99f6e21367489cca659,HM,Other
ab1048060528a978a536ee2e9538de28,HM,Moscow
6caa1e4e0a322c4080f0c23a98392865,HM,Other
b356b7a12680d1c1d12c729a28ed1079,HM,Other
f9d3742964e8d35a46da512cf46fbeb3,HM,Other
58ad03c58828b1f3353ce0113902c5e0,HM,Other
9061198a99f995e44314503d643e49a8,HM,Other
898dc2c947cee718e4afd7dfcb2f1a09,HM,Other
e90b327c1ceca11f1a44a8bcf58af34c,HM,Other
80d61f4c7a1a889090a7bdac32485de8,HM,Other
d1aa0137612fb8dd48d20f02aa9c3196,HM,Moscow
155d328d7db586cf215aca5e8088dfed,HM,Other
a4e23b2609285cfd99de6d9832f21df1,HM,Other
f7d63bbdc0fda6d3c6ae9c061a86910d,HM,Other
b705667936f5d49b801c56aa43bed5ea,HM,Other
e7c1d363fdf4c85ee426f767361eabf9,HM,Other
eb37b9bd6dbd6f66cd3fe110037e5974,HM,Other
66f422b606be164aacabb0c74c66b42d,HM,Other
62a8d042a93d5f88fb6636cde700ce69,HM,Other
03747e36da6ae932adf245e835271bec,HM,Other
54e0f6e4ee558d9346d379b4ca2a25a0,HM,Other
87277281b55376d0231ad94f63e4a7eb,HM,Other
94b02d7d3f29b972b34c169cfa68120d,HM,St. Petersburg
89befd1102aeaead24cfe2b9fa9997f9,HM,Other
c9fdbf4198a6798899c28d95e34e63a6,HM,Other
24a41dfc0b09c248bbc23b5e1ffc16d8,HM,Moscow
2a34e8685490c86e180af62f6f0f4f87,HM,Moscow
d2ac32e14d651b9ed03f26f845a11597,HM,Other
785ee201dc63daae3aecb2c7cbae60d3,HM,Moscow
e3a958df39563a3bc9cbc53fc79dee52,HM,Other
398bb4d9a15db2d8bf52b9ca9c8538ee,SM,Moscow
0cae130d84b77dfd664e70648582c136,SM,Moscow
bbdf56e2fbd1dbb503ceb433bed825ca,SM,Other
9b7de329e29300a138ed67f0916e3c74,SM,Other
f976e2029df2e37f146216f08cfe01fc,SM,Other
4c74468100405cb743427a5a6996fe30,SM,Other
645da05870c53b787251a4a236a26996,SM,Other
6b4bc745ca41d3f5373b48e69e8f54ee,SM,Other
e85726ad93c97692c9b137e4293aeed0,SM,Moscow
ff1e1ec06b812e935f5875c40924d7fc,SM,Other
b858d1d88f50454083ad8c9c3be3c507,SM,Other
73a0dc181f83bed264af81ad8fafcf89,SM,Moscow
cf2d0a2956ad104e48b8a2a47a0da12b,SM,Other
5359c847ef4975cdc646e8be8cb5621f,SM,St. Petersburg
301bd17344eb5f9bc51f15c6cb91ae5b,SM,St. Petersburg
986162058ab6bb0966a92ee16aa1adf3,SM,Other
2a5c88814e84a633d4213107490686c3,SM,St. Petersburg
a1241f0fcb8d83a4c0387f234e241914,SM,St. Petersburg
9423f9da33f4c25382bf9dd96812916d,SM,St. Petersburg
c847ee4bd70691c45a3aca7ad06635b7,SM,St. Petersburg
6b6eff61f6b4667df39e38d6da60f006,SM,St. Petersburg
d23422b17813e5eb024a4f3b4c9d97a5,SM,Other
113180fa10fcf7a118ecdbcd21c4cd24,SM,Other
7d3e44700d4e194f4230111470870410,SM,Other
71e887bc2b6a4ebdeedb744c1430d587,SM,Other
daf175d92aa404f0d522aa875b59fd71,SM,Other
a0ef1451ecde9ff4780b7f0db0cbd1aa,SM,Other
bbfafd5a662e2991084c6e40eddfd011,SM,Other
6301d370712d56ae506774c9dfcce6ce,SM,Other
8178a650c360ce1a3fe81858f0e75760,SM,Other
238d77348d954fdd455aabb09575f2d0,SM,Other
6e1acaeb838a890e6570284f73e1d00f,SM,Other
7fc3ee9aad33036cc501b2ca7c163fc1,SM,Other
8a5dd78aadea6ffc984bda22064adb92,SM,Other
